"Year","City","Diagnostic_Group","Total_Cases"
2021,"Bogota, D.C.","F83",35
2021,"Bogota, D.C.","F84",4989
2021,"Bogota, D.C.","F89",91
2021,"Bogota, D.C.","F90",6294
2021,"Cali","F70",656
2021,"Cali","F80",4923
2021,"Cali","F81",1220
2021,"Cali","F82",53
2021,"Cali","F83",12
2021,"Cali","F84",1574
2021,"Cali","F89",26
2021,"Cali","F90",1627
2021,"Medellin","F70",562
2021,"Medellin","F80",4778
2021,"Medellin","F81",782
2021,"Medellin","F82",35
2021,"Medellin","F83",3
2021,"Medellin","F84",1515
2021,"Medellin","F89",13
2021,"Medellin","F90",3609
2022,"Barranquilla","F70",1246
2022,"Barranquilla","F80",6390
2022,"Barranquilla","F81",1801
2022,"Barranquilla","F82",109
2022,"Barranquilla","F84",4629
2022,"Barranquilla","F89",55
2022,"Barranquilla","F90",5256
2022,"Bogota, D.C.","F70",6139
2022,"Bogota, D.C.","F80",22616
2022,"Bogota, D.C.","F81",11749
2022,"Bogota, D.C.","F82",397
2022,"Bogota, D.C.","F83",11
2022,"Bogota, D.C.","F84",6059
2022,"Bogota, D.C.","F89",93
2022,"Bogota, D.C.","F90",8209
2022,"Cali","F70",487
2022,"Cali","F80",5003
2022,"Cali","F81",1592
2022,"Cali","F82",112
2022,"Cali","F83",2
2022,"Cali","F84",1852
2022,"Cali","F89",14
2022,"Cali","F90",2398
2022,"Medellin","F70",690
2022,"Medellin","F80",4820
2022,"Medellin","F81",1019
2022,"Medellin","F82",35
2022,"Medellin","F84",1783
2022,"Medellin","F89",8
2022,"Medellin","F90",3032
